OBJECTID,FEATURE_ID,FROM_MH,LENGTH_FT,DIAMETER,MATERIAL,SLOPE,CFCC,STORMWATER,LANDUSE,PCI,KNOWN_ISSUES,PACP,UPSOURCE,AGE,FLOW_TO,RISE,Shape,GDB_GEOMATTR_DATA,UPSTREAM_CNT,SL_Class,Q_inf,Q,D_LEFT_TARGET,Dn,N_Full,Sed_Vol,DIRECT_CNT,FlushPerYear,VEG_SCORE,Sed_PerYr,MH_ANGLE,V
249,211513086,210715130712.00000000,278.00000000,6,CLAY,0.11296713,LOCAL,NULL,NULL,80,MED,NULL,NULL,55,210715130711.00000000,31.40486100,0x5F0D0000010403000000A0348DD3F9424141842EE1CA61676C41B07DDBD610434141B07A001369676C41B8403BD05043414138CA47E97C676C4101000000010000000001000000FFFFFFFF0000000002,NULL,9,2,NULL,0.04511734,0.09009095,6.01400000,0.01400000,7.31903475,1,1.00000000,27,0.01368356,NULL,4.41512273
250,211513091,210715131201.00000000,410.00000000,6,CLAY,0.04786439,LOCAL,NULL,NULL,85,MED,NULL,NULL,55,210715131203.00000000,19.62440000,0x5F0D0000010403000000782D347A864241417C37B686B3676C419008EC83B64241412C4899D9B3676C4170E43A90534341417806A606B4676C4101000000010000000001000000FFFFFFFF0000000002,NULL,9,2,NULL,0.04511734,0.13840474,6.01400000,0.01400000,7.31903475,1,1.00000000,0,0.00927812,90,2.44291118
251,211513107,210715131221.00000000,255.00000000,8,CLAY,0.01278718,LOCAL,NULL,NULL,82,MED,NULL,NULL,34,210715131705.00000000,3.26073200,0x5F0D0000010407000000F8B9ED78A44241417429AEDF3D686C418078709AA64241414C793AC73E686C41F0366F0FAB424141ACAB22F640686C4140BB6963C04241411CAB072C4C686C4138500652C5424141F41C97CE4E686C41A0A1A522D4424141DC62919D56686C4150F3A1B6DB4241415CEF449E5A686C4101000000010000000001000000FFFFFFFF0000000002,NULL,9,2,NULL,0.04511734,0.26777488,8.01400000,0.01400000,36.59517375,5,1.00000000,66,0.04195624,60,1.37413760
252,211513108,210715131705.00000000,161.00000000,8,PVC,0.00417940,LOCAL,NULL,NULL,82,MED,NULL,NULL,34,210715131706.00000000,0.67288400,0x5F0D0000011450F3A1B6DB4241415CEF449E5A686C41605137312C4341415CEF449E5A686C41,NULL,14,2,NULL,0.07018253,0.72859432,8.01200000,0.01200000,0.00000000,0,1.00000000,51,0.00000000,60,1.41213843
253,211513118,210715131715.00000000,288.00000000,6,CLAY,0.03741146,LOCAL,NULL,NULL,81,MED,NULL,NULL,55,210715131718.00000000,10.77450000,0x5F0D000001040300000010A222B82B45414134B9AB5C74686C41C0BF676D55454141AC7A2CAA85686C417839921473454141F0EE217B93686C4101000000010000000001000000FFFFFFFF0000000002,NULL,12,2,NULL,0.06015645,0.20873420,6.01400000,0.01400000,7.31903475,1,1.00000000,2,0.01320844,90,2.15182986
254,211513141,210715131613.00000000,251.00000000,6,CLAY,0.03165711,LOCAL,NULL,NULL,73,MED,NULL,NULL,55,210715131614.00000000,7.94593400,0x5F0D000001040500000010AEA6D736404141A412379C7C686C41A8A4614C544041418CC05E557C686C41B8710BA9794041414086EE777C686C41D8E023CDA04041411C0102837C686C4188EA4032B440414150EB495C7C686C4101000000010000000001000000FFFFFFFF0000000002,NULL,1,2,NULL,0.00501304,0.01890947,6.01400000,0.01400000,21.95710425,3,1.00000000,0,0.04546654,90,1.36581363
255,212301017,210723012504.00000000,352.00000000,8,PVC,0.00556080,LOCAL,NULL,NULL,59,MED,NULL,NULL,22,210723022106.00000000,1.95740000,0x5F0D0000010409000000187D51CA11504141A09BA34BB96E6C41E058BD7B1E504141E49D7616B96E6C41D0D08B2822504141702D130EB96E6C41E83AFA1B3A5041415C411376B86E6C4150D7265842504141945F1F48B86E6C41900C05FD9A50414160E89749B66E6C41C0E49215B450414118282FC5B56E6C41981202F3BB5041417C34089FB56E6C41F89A9E41C1504141F8D8838BB56E6C4101000000010000000001000000FFFFFFFF0000000002,NULL,23,2,NULL,0.11529986,1.03770492,8.01200000,0.01200000,58.55227800,8,1.00000000,22,0.04863111,NULL,1.68955444
256,212301018,210723012505.00000000,367.00000000,8,PVC,0.00557221,LOCAL,NULL,NULL,66,MED,NULL,NULL,22,210723012506.00000000,2.04500000,0x5F0D000001040C00000038A4BED17A4F4141780816E9E56E6C41B8D73B3B7E4F4141A874F6E3E56E6C4108CA6DA4814F4141FCE42EE8E56E6C4120AD6A64994F41413CB495DBE56E6C41D8C5475EA34F414184F2DED2E56E6C41D01F2D83C54F41415CB96AAFE56E6C41F8FD2E05D64F4141E4C61A9AE56E6C41989D58CBEA4F4141E878F285E56E6C417073763BFD4F414188A2067CE56E6C41E0C84F690F504141A0F2826BE56E6C41D0F5FDC6225041411CE14D52E56E6C41E0B90A29325041412C7E4649E56E6C4101000000010000000001000000FFFFFFFF0000000002,NULL,1,2,NULL,0.00501304,0.04507141,8.01200000,0.01200000,73.19034750,10,1.00000000,0,0.12804087,NULL,0.76827010
257,212302003,210723022203.00000000,148.00000000,8,ACP,0.03449527,LOCAL,NULL,NULL,65,MED,NULL,NULL,49,210723022223.00000000,5.10530000,0x5F0D0000010407000000A8874732EF5641416C85494CAA6E6C41D8421061EB564141303E7272B16E6C415869785AEB564141EC3DC87EB16E6C41C82C7BC6EA564141C00E1CD2B26E6C41C0130D0AEA564141A4E47BB7B46E6C41486E3A7BE7564141B48272A8B96E6C4160ED3B51E656414168A962ABBC6E6C4101000000010000000001000000FFFFFFFF0000000002,NULL,77,2,NULL,0.38600389,1.39484400,8.01100000,0.01100000,7.31903475,1,1.00000000,0,0.01445789,NULL,4.38268132
258,212302066,210723022220.00000000,325.00000000,10,ACP,0.00689723,ARTERIAL,NULL,NULL,59,MED,NULL,NULL,47,210723022219.00000000,2.24160000,0x5F0D00000114F0A5DD6BEC54414184E7D889DB6E6C4190A778E663554141E4964F08F76E6C41,NULL,423,1,NULL,2.12051486,17.13632529,10.01100000,0.01100000,0.00000000,0,1.00000000,0,0.00000000,NULL,3.88788966
259,212302071,210723022221.00000000,297.00000000,10,ACP,0.00670202,ARTERIAL,NULL,NULL,59,MED,NULL,NULL,47,210723022220.00000000,1.99050000,0x5F0D00000114808EB5107F5441410027016BC26E6C41F0A5DD6BEC54414184E7D889DB6E6C41,NULL,423,1,NULL,2.12051486,17.38409922,10.01100000,0.01100000,0.00000000,0,1.00000000,0,0.00000000,NULL,3.88788966
260,212302076,210723022201.00000000,309.00000000,10,ACP,0.00454531,ARTERIAL,NULL,NULL,62,MED,NULL,NULL,47,210723022221.00000000,1.40450000,0x5F0D000001040300000038595C170D54414140F8364CA86E6C41480920E13454414150487881B16E6C41808EB5107F5441410027016BC26E6C4101000000010000000001000000FFFFFFFF0000000002,NULL,422,1,NULL,2.11550182,21.05937028,10.01100000,0.01100000,7.31903475,1,1.00000000,0,0.00443188,NULL,3.95258423
261,212302123,210723021105.00000000,112.00000000,8,ACP,0.03127054,LOCAL,NULL,NULL,77,MED,NULL,NULL,47,210723021104.00000000,3.50230000,0x5F0D0000010405000000A82667C21B534141D4673A9F366D6C41381712AD19534141C04D32EB366D6C41589523FF04534141ACA363DD396D6C4180C49C2B035341415825FE1F3A6D6C416883F284EB52414148B7D8BE3D6D6C4101000000010000000001000000FFFFFFFF0000000002,NULL,45,2,NULL,0.22558669,0.85616903,8.01100000,0.01100000,14.63806950,2,1.00000000,0,0.03821018,90,3.30565010
262,212302136,210723022608.00000000,275.00000000,8,ACP,0.00632509,LOCAL,NULL,NULL,67,MED,NULL,NULL,39,210723022609.00000000,1.73940000,0x5F0D00000114A0201E614D534141440868817F6F6C41802327632753414138E7CD3FA06F6C41,NULL,133,2,NULL,0.66673399,5.62643068,8.01100000,0.01100000,0.00000000,0,1.00000000,12,0.00000000,90,3.04891264
263,212302149,210723020706.00000000,170.00000000,8,PVC,0.05453471,LOCAL,NULL,NULL,71,MED,NULL,NULL,20,210723020705.00000000,9.27090000,0x5F0D0000010406000000F0AF9E17FF534141A48DC901FE6C6C41C803379900544141606415ADFE6C6C41B8FAEA6D01544141FC01950BFF6C6C4188E738311B544141546F930B0B6D6C417012963027544141C43E8189106D6C413844953528544141F06CF500116D6C4101000000010000000001000000FFFFFFFF0000000002,NULL,1,2,NULL,0.00501304,0.01440716,8.01200000,0.01200000,14.63806950,2,1.00000000,0,0.05528354,90,0.76827010
264,212302165,210723022117.00000000,291.00000000,8,PVC,0.00912371,LOCAL,NULL,NULL,74,MED,NULL,NULL,22,210723022116.00000000,2.65500000,0x5F0D000001041400000070187265F65241417048D02AC66E6C4138051FACF9524141582A3571C56E6C41C0D44F7FFB524141547078D1C46E6C4168A83085FD524141184DB458C46E6C41B8D38F5FFF524141C05EE1F5C36E6C41D88A5C0B0153414174A1A57EC36E6C4110EE4E5F0253414160839130C36E6C41988E39A50B534141E834BE8AC06E6C4190B2EB2310534141082FFA31BF6E6C41D0F7799B1653414148A96A27BD6E6C41B8A08AC91C5341410447C21DBB6E6C41A88D36B02753414184F0FBECB66E6C41180226033053414100654C22B36E6C41D0A525C332534141001135B1B16E6C418845C5FD34534141EC6BD09AB06E6C4108EBA56338534141E8E0ECCCAE6E6C41C8EC520A3B534141941C9D57AD6E6C4160A33FA63E5341415C23D560AB6E6C41D0B6D3D54153414110E06DC2A96E6C41809FDEC04553414150D949CCA76E6C4101000000010000000001000000FFFFFFFF0000000002,NULL,1,2,NULL,0.00501304,0.03522323,8.01200000,0.01200000,80.50938225,11,1.00000000,0,0.17762921,90,0.76827010
265,212302175,210723022620.00000000,245.00000000,8,PVC,0.00215429,LOCAL,NULL,SCHOOL,60,MED,NULL,NULL,22,210723022713.00000000,0.52780000,0x5F0D000001040C000000985D43DD8D534141505489243F6F6C4158B93D469F53414150268108406F6C41A8FA4E2AAB53414190F9F395406F6C4100037A30B55341415029BCEC406F6C41F01C4AE9C0534141003E7859416F6C41881757ABCE53414124C5C0A5416F6C41E0DEA20CDA5341418CCD47D1416F6C41C882AF43E5534141D80968F1416F6C4130019ECBEF534141D80968F1416F6C41A0758D1EF853414100C097E6416F6C41C0FA1E6DFF53414100C097E6416F6C41C0115D9707544141C4ECABC4416F6C4101000000010000000001000000FFFFFFFF0000000002,NULL,131,2,NULL,0.65670791,9.49585110,8.01200000,0.01200000,0.00000000,0,1.00000000,0,0.00000000,NULL,1.91716726
266,212302180,210723022125.00000000,313.00000000,8,PVC,0.01430256,LOCAL,NULL,NULL,74,MED,NULL,NULL,22,210723022228.00000000,4.47670000,0x5F0D000001040B000000900F8D7F66534141ACB5A3E8F06E6C41A0686A6E69534141CCB84FE5F06E6C41E06519566C534141205D4CE2F06E6C41085F180B6F53414100A4EFDFF06E6C41F03026427153414100A4EFDFF06E6C41F801B5CF7D53414154923BD7F06E6C4190BF00FD9D534141104090B5F06E6C41A0E1BA45AD534141104090B5F06E6C41782AAC24BC534141EC3B8C97F06E6C41808C93C9CE534141C8B8C879F06E6C4158341DB702544141B0E6B368F06E6C4101000000010000000001000000FFFFFFFF0000000002,NULL,1,2,NULL,0.00501304,0.02813248,8.01200000,0.01200000,73.19034750,10,1.00000000,0,0.15013099,90,0.76827010
267,141403015,140714032301.00000000,300.00000000,8,PVC,0.03400000,LOCAL,NULL,NULL,81,MED - DRY,NULL,NULL,33,140714032208.00000000,NULL,0x5F0D0000010408000000B84EB6DAC5224141441CEBB99B586C4180945800B9224141687B746E99586C41904D2BB9B022414130D05BF797586C419056EEB895224141E8DF943B93586C414047D19E87224141E8B82DC590586C41A84898F5672241419843EB2C8B586C4150C0097E63224141C4287B5F8A586C41205C011D422241412474104384586C4101000000010000000001000000FFFFFFFF0000000002,NULL,1,2,NULL,0.00501304,0.01824633,8.01200000,0.01200000,0.00000000,0,1.00000000,0,0.00000000,90,0.76827010
268,141403016,140714032302.00000000,120.00000000,8,PVC,0.03400000,LOCAL,NULL,NULL,81,MED - DRY,NULL,NULL,33,140714032301.00000000,NULL,0x5F0D000001040500000078E84E29E92241418CBADC0CA8586C4120DAA1E2E6224141D8A59934A7586C41F8C3E261D422414178F682DBA0586C4180226281D12241412880E2E59F586C41B84EB6DAC5224141441CEBB99B586C4101000000010000000001000000FFFFFFFF0000000002,NULL,1,2,NULL,0.00501304,0.01824633,8.01200000,0.01200000,0.00000000,0,1.00000000,0,0.00000000,NULL,0.76827010
269,141403011,140714032206.00000000,31.00000000,8,PVC,0.03400000,LOCAL,NULL,NULL,78,MED - DRY,NULL,NULL,29,140714032202.00000000,NULL,0x5F0D00000114C0200FBFAF2041419C30541B80586C41A8A9B1E4A0204141782765D67E586C41,NULL,2,2,NULL,0.01002607,0.03649262,8.01200000,0.01200000,0.00000000,0,1.00000000,34,0.00000000,90,1.53653867
270,141403028,140714031707.00000000,25.00000000,8,PVC,0.03400000,LOCAL,NULL,NULL,78,MED - DRY,NULL,NULL,24,140714031705.00000000,NULL,0x5F0D000001142862FE5B0121414130A4769150586C41C0A98FFEF5204141A83C7AC44E586C41,NULL,7,2,NULL,0.03509126,0.12772421,8.01200000,0.01200000,0.00000000,0,1.00000000,0,0.00000000,90,1.93161588
271,141403030,140714031702.00000000,40.00000000,8,PVC,0.03750000,LOCAL,NULL,NULL,78,MED - DRY,NULL,NULL,29,140714031706.00000000,1.50000000,0x5F0D00000114588B1BECC6204141A01355F669586C41E0F7A8B8CE20414130208E5265586C41,NULL,26,2,NULL,0.13033897,0.45172319,8.01200000,0.01200000,7.31903475,1,1.00000000,0,0.05349418,NULL,3.96973046
272,141403007,140714032202.00000000,185.00000000,8,PVC,0.03400000,LOCAL,NULL,NULL,78,MED - DRY,NULL,NULL,29,140714031702.00000000,NULL,0x5F0D0000010404000000A8A9B1E4A0204141782765D67E586C41A09FCF1EA8204141F84C89C17A586C41B87EA0F7AD20414168DD996977586C41588B1BECC6204141A01355F669586C4101000000010000000001000000FFFFFFFF0000000002,NULL,16,2,NULL,0.08020860,0.29194108,8.01200000,0.01200000,0.00000000,0,1.00000000,0,0.00000000,90,2.44291115
273,141403006,140714031701.00000000,350.00000000,8,PVC,0.02200056,LOCAL,NULL,NULL,78,MED - DRY,NULL,NULL,29,140714031702.00000000,7.70019531,0x5F0D00000104090000005800F9FA24204141D867944B59586C41089BBA6629204141C01A20C059586C414002D9402D2041417463A0255A586C41F0A09294452041410C3387A65C586C4120EF42B248204141402083F85C586C4108523CA666204141CC8DC20D60586C41A084F88F75204141D84EE79661586C41B00333459E20414114545AC765586C41588B1BECC6204141A01355F669586C4101000000010000000001000000FFFFFFFF0000000002,NULL,3,2,NULL,0.01503911,0.06804857,8.01200000,0.01200000,73.19034750,10,1.00000000,0,0.06113625,90,2.30480877
274,141403012,140714032207.00000000,263.00000000,8,PVC,0.03400000,LOCAL,NULL,NULL,78,MED - DRY,NULL,NULL,29,140714032206.00000000,NULL,0x5F0D0000010404000000A0A944923121414160F3574C87586C41F0C42C4E06214141844E08E784586C4130BEFB1AB42041410440355980586C41C0200FBFAF2041419C30541B80586C4101000000010000000001000000FFFFFFFF0000000002,NULL,1,2,NULL,0.00501304,0.01824633,8.01200000,0.01200000,14.63806950,2,1.00000000,41,0.03573461,NULL,0.76827010
275,302406030,300724061703.00000000,350.00000000,8,PVC,0.00361570,COLLECTOR,NULL,NULL,91,LOW,NULL,NULL,18,300724061702.00000000,1.26549600,0x5F0D00000114A8CA0A892A9B4141A493F8A6BD736C4160984CB4819A4141A023D2F5C8736C41,NULL,7,2,NULL,0.03509126,0.39166657,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,60,1.06877355
276,302406031,300724061704.00000000,365.00000000,8,PVC,0.00691407,LOCAL,NULL,NULL,91,LOW,NULL,NULL,18,300724061703.00000000,2.52363700,0x5F0D000001040D000000188BCC9EC79B414134006108A7736C41003F9CC0BC9B414144F72C4DA9736C41209B9D60B29B414158374456AB736C416067C3D2A69B4141A44A4781AD736C41406CD6009B9B4141E8A96E92AF736C412039F8308F9B414160784B82B1736C41106CBB51829B414154678E7AB3736C41406BEBD8759B4141E8B25140B5736C4180537E51689B4141984FE916B7736C41B8E241B2589B4141F0CCF1F5B8736C41307C44FD499B41418C961C9ABA736C41F84B57A03A9B414188EE0C25BC736C41A8CA0A892A9B4141A493F8A6BD736C4101000000010000000001000000FFFFFFFF0000000002,NULL,7,2,NULL,0.03509126,0.28323428,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,NULL,1.06877355
277,302406033,300724061803.00000000,258.00000000,8,PVC,0.00686722,LOCAL,NULL,NULL,91,LOW,NULL,NULL,18,300724061705.00000000,1.77174300,0x5F0D0000010407000000D8F6891D6C9C41416CA6B57B64736C41E0F03B7B629C4141E8B24B1F6D736C41088EF1DA5B9C414180AC1A0F72736C4130C28192539C41419CB8224E77736C41709010B44B9C4141A8A035B97B736C411872252E469C4141B867499F7E736C4190FDE52D3E9C4141905E879E82736C4101000000010000000001000000FFFFFFFF0000000002,NULL,2,2,NULL,0.01002607,0.08119962,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,NULL,1.53653867
278,302406034,300724061802.00000000,171.00000000,8,PVC,0.00442854,COLLECTOR,NULL,NULL,91,LOW,NULL,NULL,18,300724061803.00000000,0.75728100,0x5F0D000001040300000040B2A6B77C9C41416C5D0A924F736C411069FA90749C414150EECAE95B736C41D8F6891D6C9C41416CA6B57B64736C4101000000010000000001000000FFFFFFFF0000000002,NULL,2,2,NULL,0.01002607,0.10111467,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,NULL,0.55189001
279,302406039,300724061801.00000000,400.00000000,8,PVC,0.00438409,COLLECTOR,0,NULL,91,LOW,NULL,NULL,19,300724061802.00000000,1.75363600,0x5F0D0000011460F4A8E0A39C414108EF78931E736C4140B2A6B77C9C41416C5D0A924F736C41,NULL,1,2,NULL,0.00501304,0.05081304,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,90,0.76827010
280,302406040,300724061804.00000000,176.00000000,8,PVC,0.00790782,COLLECTOR,NULL,NULL,91,LOW,NULL,NULL,19,300724061802.00000000,1.39177600,0x5F0D0000011470C7AEB6D39C4141280E53C153736C4140B2A6B77C9C41416C5D0A924F736C41,NULL,2,2,NULL,0.01002607,0.07566867,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,90,1.53653867
281,302406041,300724061805.00000000,314.00000000,8,PVC,0.00896394,LOCAL,NULL,NULL,62,LOW,NULL,NULL,19,300724061804.00000000,2.81467600,0x5F0D0000010405000000507031276B9D4141E00CF1485D736C4140047B505E9D414148BBD7A65B736C41A05ECF49519D4141AC3A2B475A736C4128FC3FF1439D4141807F102B59736C4170C7AEB6D39C4141280E53C153736C4101000000010000000001000000FFFFFFFF0000000002,NULL,2,2,NULL,0.01002607,0.07107142,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,90,1.53653867
282,302406042,300724061806.00000000,48.00000000,8,PVC,0.01188646,LOCAL,NULL,NULL,62,LOW,NULL,NULL,19,300724061805.00000000,0.57055000,0x5F0D00000114182DADDB7E9D41410CCA542860736C41507031276B9D4141E00CF1485D736C41,NULL,1,2,NULL,0.00501304,0.03085948,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,90,0.76827010
283,302406043,300724061807.00000000,244.00000000,8,PVC,0.01363982,LOCAL,NULL,NULL,62,LOW,NULL,NULL,19,300724061806.00000000,3.32811700,0x5F0D000001040D000000280F1EFFD59D414104682E4D75736C411023AA2EC49D414120FE7A4470736C4180FCCBFEB79D4141842A88296D736C4180536B23B29D414160CF97B66B736C41782B4B48AC9D4141341221436A736C4168BEDD6BA69D41410C86EDCF68736C4180CC2D8EA09D4141D890855E67736C41B048DFAB9A9D414108A6CDEF65736C4160EAA0A1949D41410C52B67E64736C41F0EF927F8E9D4141B8D80D2563736C4170A88528889D4141B4030EDD61736C41F0D9069E819D4141C0E56AA760736C41182DADDB7E9D41410CCA542860736C4101000000010000000001000000FFFFFFFF0000000002,NULL,1,2,NULL,0.00501304,0.02880783,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,90,0.76827010
